"Object ID","candid","JD","R.A.","Decl.","fid","magpsf","sigmapsf","programid","isdiffpos","drb","acai_h","acai_n","acai_o","acai_v","acai_b"
"ZTF18abxftqm","1006382453915010001","2458760.8824537","16.8901784","23.4762595","1","20.275312423706055","0.2040012627840042","2","f","0.9997989535331726","","","","",""
"ZTF18abxftqm","1004398653915010002","2458758.8986574","16.8902299","23.4762499","1","20.36618423461914","0.21374759078025818","2","f","0.9999975562095642","","","","",""
"ZTF18abxftqm","995322290515015022","2458749.8222917","16.8902676","23.4761852","1","20.72694969177246","0.21690548956394196","1","t","0.9994635581970215","","","","",""
"ZTF18abxftqm","979466783915010002","2458733.9667824","16.8902322","23.4761152","1","20.44568634033203","0.2044602632522583","2","f","0.9962753057479858","","","","",""
"ZTF18abxftqm","970436050515015015","2458724.9360532","16.8900788","23.476141","1","20.382183074951172","0.17140109837055206","1","t","0.9999101758003235","","","","",""
"ZTF18abxftqm","952457230515015007","2458706.9572338","16.8902402","23.4761901","1","20.405696868896484","0.19966287910938263","1","t","0.9999710321426392","","","","",""
"ZTF18abxftqm","946489300515015034","2458700.9893056","16.8901862","23.476156","1","20.501056671142578","0.21712735295295715","1","t","0.9999352693557739","","","","",""
"ZTF18abxftqm","943464790515015026","2458697.9647917","16.8901243","23.4761595","1","20.24009132385254","0.1950577050447464","1","t","0.9999832510948181","","","","",""
"ZTF18abxftqm","940453180515015025","2458694.9531829","16.8901618","23.4761968","1","20.311067581176758","0.15689563751220703","1","t","0.9999996423721313","","","","",""
"ZTF18abxftqm","918467650515015004","2458672.9676505","16.8901804","23.4762095","2","20.46277618408203","0.2075004130601883","1","t","0.9999852180480957","","","","",""
"ZTF18abxftqm","912424420515015007","2458666.9244213","16.8901781","23.4760988","2","20.39438247680664","0.19614781439304352","1","t","0.9656112194061279","","","","",""
"ZTF18abxftqm","907470860515015004","2458661.9708681","16.890055","23.4762595","1","19.909400939941406","0.20746785402297974","1","t","0.9999796152114868","","","","",""
"ZTF18abxftqm","892450500515015140","2458646.9505093","16.8901702","23.4762008","1","19.662670135498047","0.16822902858257294","1","t","","","","","",""
"ZTF18abxftqm","785141370515015006","2458539.6413773","16.890146","23.4761449","1","19.475893020629883","0.20427578687667847","1","t","","","","","",""
"ZTF18abxftqm","760174930515015012","2458514.6749306","16.8901494","23.4761837","1","19.012704849243164","0.09107394516468048","1","t","","","","","",""
"ZTF18abxftqm","755175210515015005","2458509.6752199","16.8902407","23.476148","1","18.93929100036621","0.14299927651882172","1","t","","","","","",""
"ZTF18abxftqm","749165320515015013","2458503.6653241","16.8901498","23.4761734","1","18.83823585510254","0.11696550250053406","1","t","","","","","",""
"ZTF18abxftqm","749114340515015008","2458503.6143403","16.8901934","23.4762232","2","19.13031578063965","0.11378974467515945","1","t","","","","","",""
"ZTF18abxftqm","739182320515015008","2458493.6823264","16.8901098","23.4762006","1","18.97024154663086","0.09829285740852356","1","t","","","","","",""
"ZTF18abxftqm","739114530515015010","2458493.614537","16.8901607","23.4761862","2","19.048553466796875","0.10524687170982361","1","t","","","","","",""
"ZTF18abxftqm","736130690515015003","2458490.6306944","16.8901304","23.4761882","2","19.067554473876953","0.09249306470155716","1","t","","","","","",""
"ZTF18abxftqm","736110710515015004","2458490.6107176","16.8902064","23.4761804","1","18.84537124633789","0.08835939317941666","1","t","","","","","",""
"ZTF18abxftqm","732109740515015014","2458486.6097454","16.8901212","23.476202","2","18.951406478881836","0.09831242263317108","1","t","","","","","",""
"ZTF18abxftqm","729120630515015026","2458483.6206366","16.8901535","23.4761308","1","18.8005428314209","0.09318279474973679","1","t","","","","","",""
"ZTF18abxftqm","729120183915015002","2458483.6201852","16.8900614","23.4761293","1","19.38909912109375","0.14803242683410645","2","t","","","","","",""
"ZTF18abxftqm","727302320515015032","2458481.8023264","16.8901967","23.4761493","2","18.879165649414062","0.13565576076507568","1","t","","","","","",""
"ZTF18abxftqm","721098950515015010","2458475.5989583","16.8900894","23.4762098","1","18.766094207763672","0.14693166315555573","1","t","","","","","",""
"ZTF18abxftqm","718184010515015006","2458472.6840162","16.8901223","23.4761907","1","18.744281768798828","0.10793676972389221","1","t","","","","","",""
"ZTF18abxftqm","718121290515015019","2458472.6212963","16.8901605","23.4761927","2","18.987674713134766","0.09880237281322479","1","t","","","","","",""
"ZTF18abxftqm","715194760515015006","2458469.6947685","16.8901194","23.4762345","2","18.87149429321289","0.13250084221363068","1","t","","","","","",""
"ZTF18abxftqm","715187620515015006","2458469.6876273","16.8901246","23.4761922","1","18.699560165405273","0.1180582121014595","1","t","","","","","",""
"ZTF18abxftqm","708277700515015004","2458462.7777083","16.8901157","23.4762143","2","18.773399353027344","0.17300504446029663","1","t","","","","","",""
"ZTF18abxftqm","703201403915015000","2458457.7014005","16.8901802","23.476156","2","19.34901237487793","0.1262809783220291","2","t","","","","","",""
"ZTF18abxftqm","703200930515015012","2458457.7009375","16.8901391","23.4761605","2","18.967205047607422","0.1022893562912941","1","t","","","","","",""
"ZTF18abxftqm","702196233915015000","2458456.6962384","16.8900972","23.4762099","2","19.165372848510742","0.1101655513048172","2","t","","","","","",""
"ZTF18abxftqm","702195770515015010","2458456.6957755","16.8901727","23.47615","2","18.9683780670166","0.0664442703127861","1","t","","","","","",""
"ZTF18abxftqm","702183180515015006","2458456.6831829","16.8901185","23.4761836","2","18.932512283325195","0.11678747832775116","1","t","","","","","",""
"ZTF18abxftqm","696255020515015002","2458450.7550231","16.8901502","23.4761734","1","18.74918556213379","0.2138991504907608","1","t","","","","","",""
"ZTF18abxftqm","693330040515015003","2458447.8300463","16.8900216","23.4762076","2","18.716205596923828","0.09395964443683624","1","t","","","","","",""
"ZTF18abxftqm","687275280515015006","2458441.7752894","16.8901436","23.4761933","2","18.730653762817383","0.118724025785923","1","t","","","","","",""
"ZTF18abxftqm","687238480515015005","2458441.7384838","16.8901153","23.4761768","1","18.32933807373047","0.08991196006536484","1","t","","","","","",""
"ZTF18abxftqm","681268510515015083","2458435.7685185","16.8901381","23.4761461","2","18.455123901367188","0.10862115025520325","1","t","","","","","",""
"ZTF18abxftqm","681228770515015051","2458435.7287731","16.8901646","23.4761514","1","18.42043685913086","0.09379357844591141","1","t","","","","","",""
"ZTF18abxftqm","678268860515015006","2458432.7688657","16.8901688","23.4761798","2","18.447486877441406","0.06761776655912399","1","t","","","","","",""
"ZTF18abxftqm","677259780515015384","2458431.7597801","16.8902307","23.4761686","3","18.694616317749023","0.1340138167142868","2","t","","","","","",""
"ZTF18abxftqm","675274640515015029","2458429.7746412","16.8901516","23.4761814","2","18.518142700195312","0.07965574413537979","1","t","","","","","",""
"ZTF18abxftqm","673279670515015147","2458427.7796759","16.8901223","23.476223","3","18.45937728881836","0.11736863851547241","2","t","","","","","",""
"ZTF18abxftqm","672325450515015009","2458426.8254514","16.8901361","23.4762037","1","18.294023513793945","0.07784150540828705","1","t","","","","","",""
"ZTF18abxftqm","672254720515015020","2458426.7547222","16.8901468","23.4761884","2","18.432340621948242","0.07827593386173248","1","t","","","","","",""
"ZTF18abxftqm","669307890515015010","2458423.8078935","16.8901617","23.476178","2","18.364049911499023","0.05051875486969948","1","t","","","","","",""
"ZTF18abxftqm","669256370515015012","2458423.7563773","16.8900999","23.4761837","3","18.588836669921875","0.09699796885251999","2","t","","","","","",""
"ZTF18abxftqm","643359650515015030","2458397.8596528","16.8901444","23.4761888","1","18.46790313720703","0.06974107772111893","1","t","","","","","",""
"ZTF18abxftqm","643295610515015035","2458397.7956134","16.890137","23.4761743","3","18.985496520996094","0.09403880685567856","2","t","","","","","",""
"ZTF18abxftqm","634376380515015003","2458388.8763889","16.8901335","23.4761183","1","19.206554412841797","0.16221031546592712","1","t","","","","","",""
"ZTF18abxftqm","634277150515015000","2458388.7771528","16.8900566","23.4762193","2","19.41060447692871","0.19522328674793243","1","t","","","","","",""
"ZTF18abxftqm","628431330515015010","2458382.931331","16.8901367","23.4761559","1","20.3660831451416","0.20222707092761993","1","t","","","","","",""
"ZTF18abxftqm","625390640515015012","2458379.8906481","16.890129","23.4762573","2","20.862842559814453","0.2171226590871811","1","t","","","","","",""